date,xrf,sample,ni,fe,alu,mag,chrom,man
5/14/22,3,S2,0.65,51.277,6.822,0.591,4.611,0.954
5/14/22,4,S1,0.638,48.94,9.11,1.481,3.696,0.973
5/14/22,4,S2,0.652,52.3,6.842,1.013,3.746,1.079
5/14/22,3,S12,1.378,13.963,1.29,29.672,1.163,0.317
5/14/22,3,S1,0.634,48.304,10.801,0.759,5.029,0.796
5/15/22,2,S1,0.637,48.414,9.986,0.951,3.829,0.785
5/15/22,2,S2,0.651,51.213,6.502,0.901,3.806,0.939
5/15/22,3,S2,0.651,51.297,6.834,0.612,4.691,0.956
5/15/22,3,S1,0.634,48.487,10.616,0.732,5.077,0.8
5/16/22,3,S1,0.633,48.544,10.694,0.818,5.115,0.809
5/16/22,3,S12,1.386,13.887,1.427,29.674,1.235,0.316
5/16/22,2,S1,0.636,48.05,9.79,1.098,3.83,0.798
5/16/22,2,S2,0.645,51.06,6.404,0.934,3.781,0.929
5/16/22,3,S2,0.636,51.193,6.837,0.633,4.665,0.939
5/17/22,2,S2,0.654,51.213,6.493,0.916,3.795,0.936
5/17/22,3,S12,1.392,13.917,1.361,29.647,1.216,0.32
5/17/22,3,S2,0.644,51.365,6.908,0.65,4.694,0.951
5/17/22,3,S1,0.63,48.493,10.678,0.747,5.07,0.802
5/17/22,2,S1,0.637,48.314,9.944,0.958,3.827,0.781
5/18/22,3,S2,0.643,51.498,6.933,0.606,4.701,0.959
5/18/22,3,S1,0.634,48.696,10.667,0.735,5.084,0.808
5/18/22,2,S1,0.64,48.514,10.098,0.947,3.804,0.778
5/18/22,2,S2,0.657,51.317,6.488,0.868,3.833,0.94
5/19/22,3,S2,0.641,51.176,6.803,0.631,4.61,0.951
5/19/22,2,S2,0.656,51.251,6.513,0.881,3.785,0.928
5/19/22,2,S1,0.644,48.332,10.013,0.932,3.821,0.791
5/19/22,3,S1,0.63,48.365,10.689,0.728,5.042,0.797
5/19/22,3,S12,1.35,13.81,1.352,29.952,1.193,0.317
5/20/22,3,S12,1.364,13.87,1.362,29.77,1.181,0.318
5/20/22,2,S2,0.652,51.121,6.448,0.884,3.834,0.933
5/20/22,2,S1,0.637,48.224,9.998,0.966,3.813,0.778
5/20/22,2,S11,1.001,8.207,1.162,25.383,0.753,0.171
5/20/22,3,S2,0.643,51.269,6.974,0.641,4.709,0.956
5/20/22,2,S12,1.376,13.556,1.125,25.839,1.2,0.327
5/20/22,3,S1,0.63,48.334,10.682,0.725,5.038,0.801
5/21/22,2,S2,0.658,51.458,6.525,0.872,3.822,0.933
5/21/22,3,S1,0.629,48.313,10.798,0.707,5.075,0.806
5/21/22,2,S1,0.644,48.603,10.02,0.957,3.845,0.79
5/21/22,2,S11,1.004,8.237,1.176,25.372,0.751,0.171
5/21/22,3,S2,0.64,51.13,7.033,0.618,4.76,0.949
5/21/22,2,S12,1.382,13.6,1.131,25.685,1.191,0.328
5/22/22,3,S12,1.387,13.932,1.373,29.123,1.174,0.322
