dt,xrf,sample,ni,fe,alu
2022-06-24,3,S2,0.64,50.97,6.96
2022-06-24,2,S1,0.64,48.53,9.52
2022-06-24,4,S1,0.63,48.73,8.58
2022-06-24,3,S1,0.63,48.35,10.11
2022-06-25,2,S2,0.66,51.56,6.6
2022-06-25,2,S1,0.64,48.57,9.68
2022-06-25,3,S2,0.64,50.96,6.87
2022-06-25,3,S1,0.63,48.34,10.04
2022-06-25,4,S2,0.66,52.58,6.83
2022-06-25,4,S11,1,8.85,1.13
2022-06-25,3,S12,1.39,13.95,1.44
2022-06-25,4,S1,0.63,48.58,8.59
2022-06-26,3,S2,0.64,51.16,6.94
2022-06-26,4,S2,0.66,52.44,6.79
2022-06-26,4,S11,1,8.87,1.13
2022-06-26,3,S1,0.63,48.42,9.91
2022-06-26,2,S1,0.65,48.47,9.42
2022-06-26,4,S1,0.63,49.18,8.47
2022-06-26,3,S12,1.4,14.04,1.34
2022-06-26,2,S2,0.66,51.64,6.56
2022-06-27,3,S1,0.63,48.33,10.04
2022-06-27,4,S12,1.4,14.1,1.16
2022-06-27,2,S1,0.64,48.52,9.39
2022-06-27,2,S2,0.66,51.45,6.55
2022-06-27,3,S2,0.65,51.17,7
2022-06-27,4,S2,0.65,52.24,6.65
2022-06-27,4,S11,1,8.84,1.12
2022-06-27,4,S1,0.63,49.25,8.55
2022-06-28,3,S2,0.65,51.14,6.58
2022-06-28,3,S11,1,8.27,1.59
2022-06-28,3,S1,0.64,48.47,9.87
2022-06-28,3,S12,1.4,14.05,1.46
2022-06-28,2,S1,0.64,48.46,9.39
2022-06-28,2,S2,0.66,51.06,6.55
2022-06-29,2,S1,0.64,48.42,9.45
2022-06-29,3,S2,0.65,50.94,7.1
2022-06-29,4,S11,1.01,8.88,1.11
2022-06-29,3,S1,0.64,48.42,10.08
2022-06-29,4,S2,0.65,52.72,6.79
2022-06-29,2,S2,0.66,51.27,6.59
2022-06-30,4,S2,0.65,52.7,6.78
2022-06-30,3,S2,0.65,51.1,6.86
2022-06-30,3,S1,0.64,48.48,9.88
2022-06-30,2,S2,0.66,51.22,6.6
2022-06-30,2,S1,0.65,48.46,9.42
2022-06-30,4,S11,1.01,8.88,1.11
2022-07-01,3,S1,0.64,48.41,9.97
2022-07-01,2,S1,0.65,48.57,9.51
2022-07-01,4,S2,0.65,52.35,6.67
2022-07-01,2,S2,0.66,51.51,6.59
2022-07-01,3,S2,0.65,51.14,6.82
2022-07-01,4,S1,0.62,48.79,8.59
2022-07-02,2,S2,0.66,51.56,6.57
2022-07-02,2,S1,0.64,48.58,9.42
2022-07-02,3,S1,0.63,48.42,9.86
2022-07-02,4,S1,0.63,49.21,8.56
2022-07-02,4,S2,0.65,52.69,6.85
2022-07-02,4,S11,0.99,8.93,1.11
2022-07-02,3,S2,0.65,51.33,6.79
2022-07-03,2,S1,0.64,48.13,9.45
2022-07-03,2,S2,0.66,50.95,6.56
2022-07-03,4,S2,0.65,52.24,6.78
2022-07-03,2,S3,0.98,50.77,3.05
2022-07-03,3,S2,0.64,50.67,6.79
2022-07-03,3,S3,0.99,51.09,3.11
2022-07-03,4,S11,1,8.89,1.13
2022-07-03,3,S1,0.64,47.92,9.88
2022-07-03,4,S1,0.62,48.43,8.41
2022-07-03,4,S3,0.99,53.05,3.97
2022-07-04,3,S11,0.99,8.18,1.68
2022-07-04,2,S1,0.64,48.61,9.46
2022-07-04,4,S1,0.63,48.99,8.34
2022-07-04,3,S1,0.63,48.38,9.96
